file,title_en,type_en,text_en,title_fr,type_fr,text_fr
../TacticsCards/ASH WASTE NOMADS/Ambush Masters.png,Ambush Masters,Ash Waste Nomads Tactics,"Play this gang tactic at the start of the battle, afte
both sides have deployed, but before first round.
Your gang may immediately recruit and place in
your deployment zone D3 Ash Waste Nomads
Dust Runners. These fighters are recruited for
free but will leave your gang at the end of this
battle. Each Dust Runner has up to 20 credits
worth of equipment. If you do not have the
models available to represent these fighters, you
may discard this gang tactic and select another.",,,
../TacticsCards/ASH WASTE NOMADS/Ash Quake!.png,Ash Quake!,Ash Waste Nomads Tactics,"Play this gang tactic at the start of any round
before rolling for Initiative.

All fighters on the Battlefield Surface must pass
an Initiative test or become Prone and Pinned.
Any Ash Waste Nomads fighter gets +2 to this
test.",,,
../TacticsCards/ASH WASTE NOMADS/Bait and Switch.png,Bait and Switch,Ash Waste Nomads Tactics,"Play this gang tactic at the start of any round,
before players have rolled for Initiative.

Select two friendly fighters on the battlefield,
neither of which is Engaged. Swap the position
of the two fighters.",,,
../TacticsCards/ASH WASTE NOMADS/Beseech the Great Spirits.png,Beseech the Great Spirits,Ash Waste Nomads Tactics,"Great Spirits Play this gen vecnc during any
End phase, before making Recovery tests.

You may re-roll any Recovery tests you make this
round, but must keep the second result even if it
is worse.",,,
../TacticsCards/ASH WASTE NOMADS/Blessed by the Storm.png,Blessed by the Storm,Ash Waste Nomads Tactics,"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this round, if the Visibility
CX"") rule is not active for this battle, apply the
Visibility (24"") rule. Otherwise, either increase
os pete a? the value of X"" by 6"" toa minimum
of 6"".",,,
../TacticsCards/ASH WASTE NOMADS/Fade to Ash.png,Fade to Ash,Ash Waste Nomads Tactics,"Play this gang tactic during any End phase,
before your opponent makes any Recovery tests.
The battle ends as if your gang had retreated
from the battlefield. Friendly fighters who are
Seriously Injured automatically recover and
there is no chance for any fighters to be
Captured.",,,
../TacticsCards/ASH WASTE NOMADS/Ghosts on the Ash.png,Ghosts on the Ash,Ash Waste Nomads Tactics,"Play this gang tactic at the beginning of any
round, before rolling for Initiative.

For the duration of this round, friendly Ash
Waste Nomads fighters treat the Battlefield
Surface as open terrain.",,,
../TacticsCards/ASH WASTE NOMADS/Master Sniper.png,Master Sniper,Ash Waste Nomads Tactics,"Play this gang tactic when activating a friendly
fighter.

For the duration of this activation, increase the
Long range of the fighter's weapons without
either the Melee or Grenade trait by 6"".",,,
../TacticsCards/ASH WASTE NOMADS/Mined!.png,Mined!,Ash Waste Nomads Tactics,"Play this gang tactic after an enemy vehicle has
completed its activation.

The enemy vehicle must immediately take a Loss
of Control test.",,,
../TacticsCards/ASH WASTE NOMADS/Now You See Me….png,Now You See Me...,Ash Waste Nomads Tactics,"Play this gang tactic at the start of a friendly
fighter's activation.

Remove the fighter from the battlefield and set it
up again within 9"" of its initial position and more
than 1"" away from any enemy model.",,,
../TacticsCards/ASH WASTE NOMADS/Numbers without End.png,Numbers without End,Ash Waste Nomads Tactics,"Play this gang tactic during any End phase,
before your opponent makes any Recovery tests.
You may return to play D3 sendy Gangers /
/Juves that have been taken Out of Action but
did not suffer a Memorable Death result on the
Lasting Injury table by placing them in your
gang’s deployment zone. These fighters retain
any injuries suffered for going Out of Action
but discard any Flesh Wounds.",,,
../TacticsCards/ASH WASTE NOMADS/Overcharge!.png,Overcharge!,Ash Waste Nomads Tactics,"Play this gang tactic when a friendly fighter
makes a ranged attack before rolling the dice.
For the duration of this attack, the Shock trait
activates on a Hit roll of 5+ instead of 6+.",,,
../TacticsCards/ASH WASTE NOMADS/Raiders without Equal.png,Raiders without Equal,Ash Waste Nomads Tactics,"Play this gang tactic during the Wrap-up phase
of the post-battle sequence.

Add D3x10 credits to your gang's Stash for each
enemy vehicle that was Wrecked during the battl",,,
../TacticsCards/ASH WASTE NOMADS/Secret Paths.png,Secret Paths,Ash Waste Nomads Tactics,"Play this gang tactic during any Rolling Roads
phase of a Rolling Roads battle before checking
to see if models rejoin the battle.

For the duration of this round, friendly fighters
can attempt to rejoin the battle regardless of their
Movement characteristic. If the scenario being
played does not use the Rolling Roads rules, you
may discard this gang tactic and select another.",,,
../TacticsCards/ASH WASTE NOMADS/Spineroach Venom.png,Spineroach Venom,Ash Waste Nomads Tactics,"Play this gang tactic when a friendly fighter
makes a close combat attack before rolling the
dice.

For the duration of this attack, one of the
fighter's weapons with the Melee trait gains the
Toxin trait.",,,
../TacticsCards/ASH WASTE NOMADS/Survival Suits.png,Survival Suits,Ash Waste Nomads Tactics,"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this battle, D3 friendly
fighters of your choice in your starting crew

are immune to the effects of the Rad-phage trait.",,,
../TacticsCards/ASH WASTE NOMADS/War of Attrition.png,War of Attrition,Ash Waste Nomads Tactics,"Play this gang tactic during the Wrap-up phase
of the post-battle sequence.

If your gang has fewer fighters taken Out of
Action than the opposing gang, your gang gains
D3 Reputation.",,,
../TacticsCards/ASH WASTE NOMADS/Will-o’-the-Wastes.png,Will-o'-the-Wastes,Ash Waste Nomads Tactics,"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this battle, D3 friendly
fighters of your choice in your starting crew gain
the Dodge skill.",,,
../TacticsCards/ASH WASTES/Always Carry a Spare.png,Always Carry a Spare,Ash Wastes Tactics,"Play this tactic when activating a friendly model
with a weapon that is Out of Ammo.

One of the model's weapons is automatically
reloaded at the cost of one action - no Ammo
check is required,",,,
../TacticsCards/ASH WASTES/Back to the Fray!.png,Back to the Fray!,Ash Wastes Tactics,"Play this tactic when checking to see if a friendly
model rejoins the fight in a Rolling Roads
scenario, before rolling the dice.

The model automatically passes the Intelligence
check to rejoin the battle.",,,
../TacticsCards/ASH WASTES/Belching Smoke.png,Belching Smoke,Ash Wastes Tactics,"Play this tactic at the start of around, before
rolling for Initiative.

Pick a friendly vehicle, all shooting attacks made
by it or targeting it suffer a -1 modifier to hit
rolls,",,,
../TacticsCards/ASH WASTES/Born to the Wastes.png,Born to the Wastes,Ash Wastes Tactics,"Play this tactic when activating a friendly model.
The model treats both difficult terrain and
dangerous terrain as open ground.",,,
../TacticsCards/ASH WASTES/Full Nitro.png,Full Nitro,Ash Wastes Tactics,"Play this tactic when activating a friendly vehicle.
For the duration of this activation, increase its
Movement characteristic by 2"".",,,
../TacticsCards/ASH WASTES/Gunk Spill.png,Gunk Spill,Ash Wastes Tactics,"Play this tactic when an enemy vehicle moves
within 2"" of a friendly vehicle's rear arc.

The coe vehicle must immediately make

a Loss of Control test with a -2 modifier.",,,
../TacticsCards/ASH WASTES/Hidden in the Ash.png,Hidden in the Ash,Ash Wastes Tactics,"Play this tactic at the start of the battle before
deploying gangs.
D3 of your fighters gain the Infiltrate skill.",,,
../TacticsCards/ASH WASTES/It'll Hold!.png,It'll Hold!,Ash Wastes Tactics,"Play this tactic when a friendly vehicle loses a HP
The vehicle loses one less HP.",,,
../TacticsCards/ASH WASTES/Lightning Strike.png,Lightning Strike,Ash Wastes Tactics,"Play this tactic when a friendly fighter subject to
the Mounted condition makes a Ride By attack
before resolving Reaction attacks.

Any Reaction attacks have a -1 modifier to hit.",,,
../TacticsCards/ASH WASTES/Look Out Below!.png,Look Out Below!,Ash Wastes Tactics,"Play this tactic when a friendly fighter is jumping
from one vehicle to another.
Add 1 to the Agility test to make the jump.",,,
../TacticsCards/ASH WASTES/Mad Mechanics.png,Mad Mechanics,Ash Wastes Tactics,"Play this tactic when a friendly vehicle is
Wrecked, before rolling on the Lasting Damage
table.

Roll twice on the Lasting Damage table and
choose which result to apply.",,,
../TacticsCards/ASH WASTES/Mag Lock Handholds.png,Mag Lock Handholds,Ash Wastes Tactics,"Play this tactic at the start of the battle, after
gangs are deployed but before the first roll for
Initiative.

Select two friendly fighters, they both
automatically pass all Initiative checks to remain
on a vehicle when it moves.",,,
../TacticsCards/ASH WASTES/Nitro Cells Overload!.png,Nitro Cells Overload!,Ash Wastes Tactics,"Play this tactic when a friendly vehicle is
Wrecked, before rolling on the Lasting Damage
table.

Place the 5"" Blast template so that its central
hole is entirely over the vehicle. All models
touched by the template take a Strength 4, AP -1,
Damage | hit.",,,
../TacticsCards/ASH WASTES/One with the Road.png,One with the Road,Ash Wastes Tactics,"Play this tactic when a friendly vehicle needs to
make a Loss of Control test, before any dice are
rolled.

The vehicle automatically passes the Loss of
Control test.",,,
../TacticsCards/ASH WASTES/Ramming Speed!.png,Ramming Speed!,Ash Wastes Tactics,"Play this tactic after a friendly vehicle has had

a head-on collision with an enemy vehicle, before
determining the Strength of the hit.

Increase the Strength, AP and Damage of the hit
suffered by the enemy vehicle by 1.",,,
../TacticsCards/ASH WASTES/Spring Back.png,Spring Back,Ash Wastes Tactics,"Play this card when activating a friendly fighter
with the Mounted condition who is Prone and
Pinned.

The fighter becomes Standing and Active at the
cost of one action - no Agility test is required.",,,
../TacticsCards/ASH WASTES/Survival Gear.png,Survival Gear,Ash Wastes Tactics,"Play this tactic after gangs have deployed but
before the first round begins.
D3 fighters gain the benefits of a Respirator.",,,
../TacticsCards/ASH WASTES/The Ash is in my Blood.png,The Ash is in my Blood,Ash Wastes Tactics,"Play this tactic at the start of the battle, after
gangs have deployed but before the first round
begins.

D3 models ignore the effects of the Battlefield
Surface.",,,
../TacticsCards/CAWDOR/Apostates (redacted).png,Apostates,Cawdor Tactics,"Play at the start of the Deployment step of the Pre-
battle sequence, before deploying fighters. You may
recruit up to three Bonepickers for free. They'll leave
the gang after this battle. Each has a fighting knife
ana ah ee a reclaimed autopistol or a cleaver. They're
taken in addition to your starting crew and don't
count towards your max Crew sise. If, during

the End phase of any round, such Bonepicker isn't
within 6"" of a friendly Cawdor Champion er Leader,
it immediately goes OOA. If you lack models,

you may discard this card and select another.",,,
../TacticsCards/CAWDOR/Blessed Visions.png,Blessed Visions,Cawdor Tactics,"| Play at the start of the game after both sides
have deployed.

For the duration of the game, the gang’s |
fighters may use their normal BS when
making Blind Fire ranged attacks or ranged
attack through Ductways.",,,
../TacticsCards/CAWDOR/Call the Faithful.png,Call the Faithful,Cawdor Tactics,"| Play this card after both sides have deployed.
You may add an extra D3 fighters to your
crew (potentially exceeding the normal crew |
size for the scenario). These fighters must

be chosen randomly from any fighters not
already included in your crew.",,,
../TacticsCards/CAWDOR/Deadmen Walking.png,Deadmen Walking,Cawdor Tactics,"Play at the start of any End phase. |
If your gang is required to make a Bottle test |
during this End phase, it will |
automatically pass.",,,
../TacticsCards/CAWDOR/Divine Avatar (redacted).png,Divine Avatar,Cawdor Tactics,"Play at the start of the Deployment step of the
Pre-battle sequence, before any fighters have
been deployed. Choose a friendly House Cawdor
Champion or Leader. Until the end of this battle,
they gain the Terrifying special rule: Enemy
Fighters must make a Willpower check before
performing a Fight (Basic) or Shoot (Basic) action
that targets this fighter. If they fail, they can't perform
the action and their action ends. If, at any span, the
chosen fighter is Seriously Injured, this card has no
effect for the rest of the battle.",,,
../TacticsCards/CAWDOR/Divine Guidance.png,Divine Guidance,Cawdor Tactics,"Play this gang tactic when activating a friendly
House Cawdor fighter.

Until the end of the fighter's activation, this
fighter may re-roll dice rolls of a natural 1.",,,
../TacticsCards/CAWDOR/Divine Motivation.png,Divine Motivation,Cawdor Tactics,"Play at the start of the game after both sides have
deployed.

For the duration of the battle, the gang's Leader
adds 2 to the dice roll for any Cool checks they
are required to take. If the leader is taken Out of
Action, all friendly fighters must make an
immediate Cool check or become Broken.",,,
