file;title_en;type_en;text_en;title_fr;type_fr;text_fr
../TacticsCards/ASH WASTE NOMADS/Ambush Masters.png;Ambush Masters;Ash Waste Nomads Tactics;"Play this gang tactic at the start of the battle, afte
both sides have deployed, but before first round.
Your gang may immediately recruit and place in
your deployment zone D3 Ash Waste Nomads
Dust Runners. These fighters are recruited for
free but will leave your gang at the end of this
battle. Each Dust Runner has up to 20 credits
worth of equipment. If you do not have the
models available to represent these fighters, you
may discard this gang tactic and select another.";Maîtres de l’embuscade;Clans nomades;Jouez cette tactique de gang au début de la bataille, après les deux camps se sont déployés, avant le premier tour. Votre gang peut immédiatement recruter et placer dans votre zone de déploiement D3 Ash Waste Nomads Dust runners. Ces combattants sont gratuits mais quitteront le gang à la fin de la bataille. Chaque Dust Runner a jusqu'à 20 crédits d’équipement.
../TacticsCards/ASH WASTE NOMADS/Ash Quake!.png;Ash Quake!;Ash Waste Nomads Tactics;"Play this gang tactic at the start of any round
before rolling for Initiative.

All fighters on the Battlefield Surface must pass
an Initiative test or become Prone and Pinned.
Any Ash Waste Nomads fighter gets +2 to this
test.";Séisme de cendres !;Clans nomades;Jouez cette tactique de gang au début de n'importe quel tour avant de lancer le jet d’Initiative. Tous les combattants sur la surface du champ de bataille doivent réussir un test d'initiative ou devenez couché et cloué. Tout combattant Ash Waste Nomads obtient +2 à ce test.
../TacticsCards/ASH WASTE NOMADS/Bait and Switch.png;Bait and Switch;Ash Waste Nomads Tactics;"Play this gang tactic at the start of any round,
before players have rolled for Initiative.

Select two friendly fighters on the battlefield,
neither of which is Engaged. Swap the position
of the two fighters.";Appât et diversion;Clans nomades;Jouez cette tactique de gang au début de n'importe quel tour, avant que les joueurs n’aient lancés le jet d’Initiative. Sélectionnez deux combattants amis sur le champ de bataille, aucun ne doit être engagé. Échanger la position des deux combattants.
../TacticsCards/ASH WASTE NOMADS/Beseech the Great Spirits.png;Beseech the Great Spirits;Ash Waste Nomads Tactics;"Great Spirits Play this gen vecnc during any
End phase, before making Recovery tests.

You may re-roll any Recovery tests you make this
round, but must keep the second result even if it
is worse.";Implorez les Grands Esprits;Clans nomades;Jouez cette tactique pendant n'importe quel phase finale, avant de faire des tests de récupération. Vous pouvez relancer tous les tests de récupération que vous effectuez à ce tour, mais vous devez conserver le deuxième résultat même s’il c'est pire.
../TacticsCards/ASH WASTE NOMADS/Blessed by the Storm.png;Blessed by the Storm;Ash Waste Nomads Tactics;"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this round, if the Visibility
CX"") rule is not active for this battle, apply the
Visibility (24"") rule. Otherwise, either increase
os pete a? the value of X"" by 6"" toa minimum
of 6"".";Bénis par la tempête;Clans nomades;"Jouez cette tactique de gang au début de la bataille, après que les deux camps se soient déployés, mais avant le premier tour. Pendant la durée de ce tour, si la règle visibilité (« X ») n'est pas active pour cette bataille, appliquez la règle de visibilité (24""). Sinon, augmentez ou diminuez la valeur de X"" de 6"" à un minimum de 6""."
../TacticsCards/ASH WASTE NOMADS/Fade to Ash.png;Fade to Ash;Ash Waste Nomads Tactics;"Play this gang tactic during any End phase,
before your opponent makes any Recovery tests.
The battle ends as if your gang had retreated
from the battlefield. Friendly fighters who are
Seriously Injured automatically recover and
there is no chance for any fighters to be
Captured.";Retour aux cendres;Clans nomades;Jouez cette tactique de gang pendant n'importe quelle phase de fin, avant que votre adversaire n'effectue un test de récupération. La bataille se termine comme si votre gang s'était retiré du champ de bataille. Les gangers et alliés qui sont blessés graves récupèrent automatiquement, aucun d’entre eux ne peut être capturé.
../TacticsCards/ASH WASTE NOMADS/Ghosts on the Ash.png;Ghosts on the Ash;Ash Waste Nomads Tactics;"Play this gang tactic at the beginning of any
round, before rolling for Initiative.

For the duration of this round, friendly Ash
Waste Nomads fighters treat the Battlefield
Surface as open terrain.";Fantômes des cendres;Clans nomades;Jouez cette tactique de gang au début de n'importe quel tour, avant de lancer le jet d’Initiative. Pendant toute la durée de ce tour, les combattants des Ash Waste Nomads considère le champ de bataille comme terrain ouvert.
../TacticsCards/ASH WASTE NOMADS/Master Sniper.png;Master Sniper;Ash Waste Nomads Tactics;"Play this gang tactic when activating a friendly
fighter.

For the duration of this activation, increase the
Long range of the fighter's weapons without
either the Melee or Grenade trait by 6"".";Maître tireur d'élite;Clans nomades;Jouez cette tactique de gang lors de l'activation d’un combattant. Pendant la durée de cette activation, augmentez la longue portée des armes du combattant sans le trait Mêlée ou Grenade de 6 ».
../TacticsCards/ASH WASTE NOMADS/Mined!.png;Mined!;Ash Waste Nomads Tactics;"Play this gang tactic after an enemy vehicle has
completed its activation.

The enemy vehicle must immediately take a Loss
of Control test.";Miné !;Clans nomades;Jouez à cette tactique de gang après qu'un véhicule ennemi ait terminé son activation. Le véhicule ennemi doit immédiatement faire un test de perte de contrôle.
../TacticsCards/ASH WASTE NOMADS/Now You See Me….png;Now You See Me...;Ash Waste Nomads Tactics;"Play this gang tactic at the start of a friendly
fighter's activation.

Remove the fighter from the battlefield and set it
up again within 9"" of its initial position and more
than 1"" away from any enemy model.";Maintenant vous me voyez...;Clans nomades;"Jouez cette tactique de gang à l’activation d’un combattant allié retirez le combattant du champ de bataille et placez-le à nouveau à moins de 9"" de sa position initiale et plus à plus de 1"" de toute figurine ennemie."
